	TCGA.BH.A1FE.06A.11R.A213.07	TCGA.E2.A15E.06A.11R.A12D.07	TCGA.E2.A15K.06A.11R.A12P.07	TCGA.BH.A18V.06A.11R.A213.07	TCGA.AC.A6IX.06A.11R.A32P.07	TCGA.BH.A1ES.06A.12R.A24H.07	TCGA.E2.A15A.06A.11R.A12D.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.D8.A1JJ.01A.31R.A14M.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.D8.A1J9.01A.11R.A13Q.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.C8.A8HQ.01A.11R.A36F.07	TCGA.D8.A73X.01A.11R.A32P.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.C8.A8HP.01A.11R.A36F.07	TCGA.E2.A108.01A.13R.A10J.07	TCGA.C8.A3M7.01A.12R.A21T.07	TCGA.C8.A3M8.01A.11R.A213.07	TCGA.E2.A107.01A.11R.A10J.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.D8.A142.01A.11R.A115.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.D8.A143.01A.11R.A115.07	TCGA.D8.A145.01A.11R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.E2.A109.01A.11R.A10J.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.D8.A13Z.01A.11R.A115.07	TCGA.C8.A275.01A.21R.A16F.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.D8.A1XL.01A.11R.A14M.07	TCGA.D8.A1XK.01A.21R.A14M.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.D8.A1XQ.01A.11R.A14M.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.D8.A27H.01A.11R.A16F.07	TCGA.D8.A1XD.01A.11R.A14D.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.D8.A27G.01A.11R.A16F.07	TCGA.D8.A27F.01A.11R.A16F.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.D8.A1XW.01A.11R.A14M.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.D8.A1Y1.01A.21R.A14M.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.D8.A1Y3.01A.11R.A157.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1XT.01A.11R.A14M.07	TCGA.D8.A27E.01A.11R.A16F.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.D8.A1X5.01A.11R.A14D.07
TCGA.BH.A1FE.06A.11R.A213.07	1	0.836110594145745	0.793270680479882	0.830236411436977	0.837812560285628	0.790504889917565	0.850945381648549	0.875062481632073	0.855247753548732	0.828546611062568	0.87280209938176	0.849482432892674	0.890741729980658	0.903163103813478	0.86249939441534	0.848850295002269	0.843794892275897	0.837338156203086	0.872122860664921	0.894123488349532	0.863082464953512	0.890717427860223	0.777748548518198	0.884655976592617	0.875096458609132	0.851640780624701	0.855418056648091	0.838771700549291	0.828356947229432	0.857262057298148	0.871263624672719	0.844795600282542	0.849653021528211	0.90064268831761	0.888483297253961	0.848707539637618	0.840529791527465	0.882669275243747	0.873440887682187	0.875174655722097	0.87307541079822	0.881875339892887	0.876313200510634	0.874042325132367	0.834897089105869	0.859780863806158	0.764097811313905	0.850874037035029	0.896759610928839	0.884724425471812	0.883660675363006	0.854430915499363	0.841977346118044	0.890205002539315	0.870446637681961	0.826477702605222	0.877093630366209	0.821428639909986	0.842617650896249	0.831049592436415	0.793618907650876	0.845140381036644	0.875990434704334	0.865544210375836	0.869072233496244	0.912391594399783	0.88200354454176	0.865160801859276	0.876196219033936	0.820348307536785	0.811602330813518	0.876021033020858	0.872781057120538	0.832118950851852	0.88904373132686	0.903296422700525	0.813437870665417	0.853724094504444	0.891781255580179	0.855439401936927
TCGA.E2.A15E.06A.11R.A12D.07	0.836110594145745	1	0.913392404526337	0.894913472339865	0.934675984355746	0.871824835613475	0.923416901407642	0.932135789188624	0.911710955838303	0.929110835493322	0.902828120835607	0.857492472340355	0.930445827056184	0.880424022863463	0.887788938930409	0.905142596750394	0.876310368424749	0.902547412985367	0.941041332023872	0.914037336453331	0.869284342263021	0.931311708391021	0.910014348753262	0.925691463247039	0.909500100927503	0.941262485106019	0.916810405877508	0.900778531987343	0.906300219482031	0.936701805362572	0.944967177610345	0.863965177807033	0.866208293841611	0.891168900159233	0.897228833227506	0.940419831838084	0.954916361474351	0.902795847874397	0.928703255579025	0.834383814585105	0.888020729767041	0.88484739151374	0.930172769080419	0.934230878988602	0.931474465813489	0.90346315384866	0.813497397705244	0.922461014596652	0.876721515142757	0.887743844049204	0.93360477331972	0.941893802557045	0.880879455676324	0.938761713196081	0.940711038790599	0.863986672587549	0.89044455033618	0.84980508784746	0.85090208795879	0.890071327448482	0.873753739869785	0.894744357980128	0.836816061538359	0.942412307150238	0.932849940156031	0.872609621162704	0.931090387216585	0.941593921141028	0.929502379872358	0.915115203303603	0.900091174421914	0.936108257744692	0.886248283992101	0.911767500417636	0.911417422284266	0.932258862790562	0.919213038461284	0.924359376316649	0.92857101224908	0.927794636649288
TCGA.E2.A15K.06A.11R.A12P.07	0.793270680479882	0.913392404526337	1	0.838671861467527	0.869089084531363	0.807663994406935	0.876214457315351	0.909718306826304	0.888681837701391	0.91091301940675	0.861033534938952	0.801737568817383	0.902190378856775	0.833421160046895	0.839675190021318	0.89727799254456	0.859401471109967	0.887054771828808	0.900496622602247	0.871409262277113	0.793620967542098	0.885724349020372	0.919354989576044	0.869308279722373	0.866915992891242	0.934148470658375	0.884485962406268	0.932665339140856	0.899994016088465	0.884972269269627	0.923870036857077	0.818120029550767	0.862459752996085	0.828907022834377	0.851816236775741	0.948961574434112	0.945898875743639	0.855780820401463	0.879503236077382	0.792993089532908	0.836590261908162	0.851619658983175	0.881237970353171	0.871587342223671	0.906666006011283	0.893920791173111	0.811044267859375	0.870505478422607	0.804315343398913	0.859447364543725	0.906195068736269	0.902722748549519	0.826317072984145	0.873510401426737	0.892994321554591	0.822590448141054	0.851265670894415	0.83557774042774	0.797357332281738	0.841053602425083	0.862251364857412	0.868008503608839	0.788019513516298	0.926549823199807	0.890630906898715	0.808264276870273	0.897015910260756	0.909428612169406	0.88914743432746	0.902888842540484	0.902843617595789	0.91100413433763	0.848122138266969	0.901356254163357	0.884802003219706	0.888136697478343	0.906563102267363	0.909399662743497	0.861619802897892	0.927915061391718
TCGA.BH.A18V.06A.11R.A213.07	0.830236411436977	0.894913472339865	0.838671861467527	1	0.905285371890972	0.838421694008579	0.907785058828793	0.88885450111402	0.920847292822929	0.848139575307844	0.888181017220162	0.791170922493683	0.889260745910056	0.880207774226466	0.906555966902611	0.888315449630846	0.843202122074389	0.842855819478823	0.891890084371014	0.913546081413862	0.869436025201818	0.897655988178503	0.817886535553603	0.886950611007432	0.893532910529395	0.894004813556931	0.891003185974249	0.858495990090383	0.859789067602697	0.907884862083183	0.886149262673674	0.906004902613134	0.908197377222169	0.906677833253095	0.890167472815972	0.898620533287325	0.880141854718133	0.943046437248174	0.912995471978695	0.867362097853481	0.86790202428166	0.900307866230875	0.88249627251023	0.92743507740155	0.885978662575991	0.879476586127102	0.82901652143854	0.931465224480603	0.878129849538726	0.90917041672114	0.861722977454161	0.907077122424912	0.937227882641804	0.890982722131462	0.904531519261152	0.892027708649128	0.896012151822596	0.831747130748549	0.859767230415077	0.864124191033873	0.859377465726758	0.878249138614836	0.884699635235566	0.891250985106416	0.911600493519005	0.9058207035804	0.867480282370128	0.886397106833314	0.904019740460871	0.874195569890679	0.842802226617155	0.887374958289356	0.920653664771489	0.842502806422108	0.866593589186793	0.90285622027914	0.846019365250504	0.89621110140869	0.899717982415674	0.899929687694957
TCGA.AC.A6IX.06A.11R.A32P.07	0.837812560285628	0.934675984355746	0.869089084531363	0.905285371890972	1	0.84755504715255	0.931615582996015	0.926275871222133	0.914688652492582	0.91683847403085	0.91261943353421	0.847326241374399	0.925290811264932	0.862113259294391	0.894103786360308	0.911156159346207	0.875101996150971	0.910743717357694	0.920536934676423	0.933255286936502	0.870428426196068	0.934772787507173	0.875560837863048	0.922262301639821	0.922985523335076	0.92263796440359	0.902623547237758	0.86454687931687	0.894821174496004	0.907281062290196	0.908930787438404	0.873355213866543	0.850012162206888	0.902095974403262	0.928862063400624	0.915417345102218	0.912150302623646	0.917021023597861	0.926478334004332	0.827646465307712	0.884644255165997	0.881358253209894	0.930137449274293	0.931199060651449	0.907628623469946	0.910328733638062	0.810842278347854	0.94289720046447	0.852825549680344	0.898918616759347	0.910328022245443	0.913536016878658	0.905042408144471	0.933253965604304	0.945307545842743	0.86735239658015	0.894408444697648	0.838016527021744	0.84699910152583	0.88074869950786	0.879148320105821	0.900978148962705	0.835342842631737	0.929365549795152	0.911793170340432	0.892814220709736	0.898910175511363	0.909241522888648	0.919700619427085	0.8765619641458	0.894630300646723	0.917253505587826	0.887793446469047	0.913421877387345	0.919688436557866	0.937531088819598	0.891092073345326	0.923796704131378	0.941682500593828	0.931711908861877
TCGA.BH.A1ES.06A.12R.A24H.07	0.790504889917565	0.871824835613475	0.807663994406935	0.838421694008579	0.84755504715255	1	0.862998176956652	0.857461340952708	0.843367880995675	0.851622598114054	0.822847623147478	0.747545202906094	0.863901036779352	0.831421696322626	0.822468829516938	0.811042134743092	0.802813384551492	0.827420463956294	0.85364459731404	0.852344273286414	0.829233961308666	0.870743087304652	0.870832923923602	0.858184331625117	0.832513290473722	0.840523244410192	0.852019648687279	0.843733929330579	0.878143300156353	0.873176193132973	0.848617948481369	0.794449636634821	0.821265408844401	0.827130944836009	0.831285450297667	0.855129516067915	0.844301542854484	0.834660303313877	0.857722702706299	0.783703901159859	0.833839194751398	0.838546057957789	0.862502709186312	0.875931538135865	0.87012371353573	0.829272801931742	0.756114653909908	0.849528658126319	0.822458485607314	0.794626303152172	0.83477062824105	0.84226293892889	0.818361206631389	0.870994378738353	0.852930339226645	0.798210751130235	0.818609065452928	0.824357651557106	0.790126906809321	0.836966797813225	0.843662832457432	0.806758125212431	0.789653708964552	0.859014732714428	0.887664652184535	0.816150751759442	0.855125516981688	0.869775618010505	0.844115410312293	0.814912898458058	0.848984139489763	0.86279406957337	0.834707760388027	0.842710873169135	0.859104776630779	0.861711116286685	0.866158430993556	0.866910633763503	0.864579761264109	0.862103493731393
TCGA.E2.A15A.06A.11R.A12D.07	0.850945381648549	0.923416901407642	0.876214457315351	0.907785058828793	0.931615582996015	0.862998176956652	1	0.946849309566588	0.939734793706931	0.933798485712967	0.945424763042001	0.81880849963308	0.931326388459295	0.873578511744619	0.904129598461168	0.919742619831899	0.886272798533396	0.920504221649014	0.943356716982333	0.93354330798507	0.857079771086674	0.931494940573541	0.895421072918885	0.901783219661122	0.943607927280622	0.923199448293118	0.935748920583521	0.899731567194387	0.94450041457115	0.928194254367266	0.918327926926731	0.894913379643653	0.887795349824371	0.910413686742991	0.899149026547584	0.929907633651505	0.9030007755876	0.926847162276837	0.922851952342133	0.867893870285833	0.901769806957468	0.913780173148145	0.93528970406959	0.935017278186082	0.926069420050895	0.896447695650832	0.852294239120731	0.923445837189132	0.882483999896844	0.915580668429911	0.92249615235349	0.927091130535809	0.907908515993783	0.944055579444218	0.942605188463963	0.889441643200607	0.913349002595059	0.893495664244901	0.8551853689558	0.886541030929934	0.900020158538272	0.907222051756052	0.870106204275025	0.933407672465356	0.952698397500893	0.906895544867547	0.934904662560769	0.949094992950362	0.948919540012497	0.909896076419186	0.913830306713173	0.938280139546973	0.916411766113006	0.90470720433926	0.91555082029617	0.930002544779997	0.918043411784347	0.938338442847943	0.925579526929945	0.950584526778479
TCGA.E2.A10A.01A.21R.A115.07	0.875062481632073	0.932135789188624	0.909718306826304	0.88885450111402	0.926275871222133	0.857461340952708	0.946849309566588	1	0.950437338432126	0.947176652043227	0.944768854245122	0.85542549226786	0.959590496894617	0.900886581419333	0.923005726247216	0.937319206359043	0.902800469154779	0.955612243682163	0.952785803001953	0.938482375003751	0.869337392396095	0.959367711609258	0.899244280002635	0.916245856396973	0.941360480190082	0.962374138820732	0.941657500712985	0.91920202444798	0.920946481386104	0.939676576467515	0.939666451235887	0.894088023793275	0.890037653795388	0.916497382644457	0.909314349409391	0.946431602992676	0.934559700275373	0.925529071132174	0.930780366366396	0.880189194027974	0.909219594080558	0.91313318855356	0.942791339030532	0.934726086665205	0.928254520680912	0.951271181315668	0.858206154068471	0.92639127167115	0.894056125699823	0.926314496758261	0.935920874884859	0.924531544128775	0.906362438600268	0.962899538659605	0.958313429774325	0.878480530887272	0.911728471501655	0.88684229880872	0.880792319125023	0.896603912875256	0.893142180138654	0.915172550311286	0.873026681008107	0.953486632050808	0.949911049352289	0.906784296381058	0.946544497498769	0.962575693322835	0.951609533365087	0.907299226041522	0.931500940693487	0.950379426203623	0.922978930234914	0.946631772024515	0.934563271132966	0.957268445917098	0.940065072517169	0.941563319131686	0.947446261668618	0.966891238125292
TCGA.D8.A1JJ.01A.31R.A14M.07	0.855247753548732	0.911710955838303	0.888681837701391	0.920847292822929	0.914688652492582	0.843367880995675	0.939734793706931	0.950437338432126	1	0.931758455263678	0.941023054058801	0.811885412308315	0.942873720887524	0.885347701492304	0.948758800772273	0.945417087879578	0.896235948038159	0.916545579060412	0.959672700121082	0.931013786605117	0.859968273864423	0.93734291975329	0.875555102537482	0.903242486360403	0.948369431926374	0.930321786165448	0.951793160543138	0.917375104600243	0.925975558775447	0.929903590244562	0.930569920106976	0.914792293457603	0.90793966652836	0.898614140988826	0.900792256230659	0.932398304351516	0.916183121275126	0.949358227500751	0.922406015091457	0.919637711219947	0.907487878233277	0.931682665720813	0.940344746561128	0.941574238626325	0.955016266735852	0.912654584761817	0.86914344717528	0.923324184820275	0.904124774238103	0.932315455230631	0.926201863645902	0.945231150803108	0.936361197526658	0.942068179529667	0.942386998208814	0.932776744999053	0.942233913152396	0.916471659678048	0.897389836714498	0.941217218356222	0.900853070526359	0.946089919392263	0.927948348926149	0.944706573800455	0.942733094799725	0.919792684544501	0.938756701550917	0.952668871054086	0.963997312231275	0.924705421174189	0.919173416328004	0.937488749461747	0.937628626144352	0.903683678484501	0.928692887976196	0.931687846932711	0.917306228921129	0.944897946234063	0.927587107878387	0.95516648049434
TCGA.C8.A274.01A.11R.A16F.07	0.828546611062568	0.929110835493322	0.91091301940675	0.848139575307844	0.91683847403085	0.851622598114054	0.933798485712967	0.947176652043227	0.931758455263678	1	0.93491519385833	0.842540365750831	0.935962780901015	0.859354368906489	0.893832374422181	0.940590074555891	0.906686894163863	0.95315139627616	0.941918380060767	0.905472129829683	0.828374379374735	0.932547938767866	0.926518983479823	0.907264519615021	0.92859953941234	0.931444396998015	0.937235928019223	0.929352313909353	0.934613432333473	0.924323950047693	0.926692213727126	0.857292707734531	0.874981262096159	0.890825748140244	0.909786730686271	0.935962203854102	0.928356016114127	0.886875505923102	0.913024685437196	0.855953341059078	0.898313187480162	0.893277386979689	0.946391189147679	0.92516984369893	0.947220462079107	0.937998881257761	0.857486024182383	0.904822975424814	0.862061227392854	0.904056752464772	0.927982723721111	0.919450814977139	0.876985261302287	0.951332250694341	0.955027477855331	0.874665141690305	0.914553007068172	0.89746916846817	0.848350697047145	0.889181880962713	0.893706361608353	0.909989950757505	0.849339096218723	0.943101951318547	0.93482825632826	0.86894900139234	0.930446783069753	0.956189623830322	0.925489932150093	0.889778646782047	0.941140226571102	0.959375108269186	0.902711950414105	0.932196315451181	0.920730077602264	0.928401338235824	0.945354046940101	0.931769715151998	0.932004317187248	0.951412325857361
