gene	TCGA-BH-A1FE-06A-11R-A213-07	TCGA-E2-A15E-06A-11R-A12D-07	TCGA-E2-A15K-06A-11R-A12P-07	TCGA-BH-A18V-06A-11R-A213-07	TCGA-AC-A6IX-06A-11R-A32P-07	TCGA-BH-A1ES-06A-12R-A24H-07	TCGA-E2-A15A-06A-11R-A12D-07	TCGA-E2-A10A-01A-21R-A115-07	TCGA-D8-A1JJ-01A-31R-A14M-07	TCGA-C8-A274-01A-11R-A16F-07	TCGA-D8-A1J8-01A-11R-A13Q-07	TCGA-D8-A1JF-01A-11R-A13Q-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-D8-A1JK-01A-11R-A13Q-07	TCGA-D8-A147-01A-11R-A115-07	TCGA-D8-A1J9-01A-11R-A13Q-07	TCGA-D8-A1JA-01A-11R-A13Q-07	TCGA-D8-A1JE-01A-11R-A13Q-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-D8-A1JB-01A-11R-A13Q-07	TCGA-D8-A1JG-01B-11R-A13Q-07	TCGA-D8-A1JH-01A-11R-A13Q-07	TCGA-D8-A1JI-01A-11R-A13Q-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-D8-A1JC-01A-11R-A13Q-07	TCGA-D8-A140-01A-11R-A115-07	TCGA-C8-A27A-01A-11R-A169-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-E2-A105-01A-11R-A10J-07	TCGA-C8-A8HQ-01A-11R-A36F-07	TCGA-D8-A73X-01A-11R-A32P-07	TCGA-C8-A27B-01A-11R-A169-07	TCGA-C8-A8HP-01A-11R-A36F-07	TCGA-E2-A108-01A-13R-A10J-07	TCGA-C8-A3M7-01A-12R-A21T-07	TCGA-C8-A3M8-01A-11R-A213-07	TCGA-E2-A107-01A-11R-A10J-07	TCGA-D8-A1JL-01A-11R-A13Q-07	TCGA-C8-A8HR-01A-11R-A36F-07	TCGA-D8-A142-01A-11R-A115-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-D8-A145-01A-11R-A115-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-E2-A109-01A-11R-A10J-07	TCGA-D8-A73W-01A-22R-A352-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-D8-A13Z-01A-11R-A115-07	TCGA-C8-A275-01A-21R-A16F-07	TCGA-D8-A27P-01A-11R-A16F-07	TCGA-D8-A1XL-01A-11R-A14M-07	TCGA-D8-A1XK-01A-21R-A14M-07	TCGA-D8-A1XM-01A-21R-A14M-07	TCGA-D8-A1XO-01A-11R-A14M-07	TCGA-D8-A1XQ-01A-11R-A14M-07	TCGA-D8-A1XJ-01A-11R-A14M-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-D8-A27H-01A-11R-A16F-07	TCGA-D8-A1XD-01A-11R-A14D-07	TCGA-D8-A1XF-01A-11R-A14D-07	TCGA-D8-A27G-01A-11R-A16F-07	TCGA-D8-A27F-01A-11R-A16F-07	TCGA-D8-A1XR-01A-11R-A14M-07	TCGA-D8-A1Y2-01A-11R-A157-07	TCGA-D8-A1XW-01A-11R-A14M-07	TCGA-D8-A1XY-01A-11R-A14M-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-D8-A1XZ-01A-11R-A14M-07	TCGA-D8-A1Y3-01A-11R-A157-07	TCGA-D8-A1XV-01A-11R-A14M-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-D8-A1XT-01A-11R-A14M-07	TCGA-D8-A27E-01A-11R-A16F-07	TCGA-D8-A1XU-01A-11R-A14M-07	TCGA-D8-A27I-01A-11R-A16F-07	TCGA-D8-A1XC-01A-11R-A14D-07	TCGA-D8-A27W-01A-11R-A16F-07	TCGA-D8-A1JU-01A-11R-A13Q-07	TCGA-D8-A1X5-01A-11R-A14D-07
30	10.72664171	11.16295904	10.79031282	9.480630274	10.63822827	9.87621748	9.539126234	9.621830455	8.74077952	8.983917915	7.608760462	10.80677088	10.59103027	10.87850787	8.567432124	9.139694592	8.33075647	9.013817307	9.323525446	9.713284603	9.781549547	9.93593924	10.18651789	10.95850102	8.795685464	9.999112836	10.1556502	10.51771751	9.54588036	9.50690596	10.75543559	8.784942326	10.3658279	10.25660594	10.73533618	9.762769529	10.71425265	10.1624194	10.14252129	10.14153561	10.74266943	9.179377434	10.03260836	10.54712097	9.771455135	10.02741133	9.281507006	10.91799095	9.670718381	9.740899066	10.83171339	9.904368485	8.958170459	9.607833689	9.970938329	10.75232678	9.442533016	9.783490704	11.7336954	9.691853767	9.506067724	10.40321307	9.131646327	10.62625541	10.15054775	9.701375952	9.517648525	9.592467315	9.582912907	10.32376546	10.51179386	9.889567541	8.975602102	11.25843636	9.930832676	10.05245285	10.05152206	9.707094384	10.6173039	9.096207553
10449	10.90885561	9.395947499	8.00550329	9.701980082	8.593514003	10.56513912	9.651455553	9.652868809	9.993793647	9.986824883	9.256250447	9.273832424	9.774860345	10.01268445	10.34627869	9.722017503	10.60160079	9.36505099	10.06460805	9.539614041	9.037317971	9.96897013	10.56533165	9.283286565	8.736150579	10.15622203	10.64388585	10.2912658	9.979186942	9.588649994	9.495094114	8.758230212	10.56471693	10.49188876	8.711863449	9.547280156	9.558531494	9.652861102	9.707527724	10.15940402	9.723805804	10.81874841	10.20971203	9.898404279	10.6013798	9.83413807	11.09107315	9.938974537	10.21306156	9.726441615	9.209493575	10.02252581	9.992154056	10.30789967	10.04095378	9.848737632	9.30053423	9.976959718	10.09115581	10.60812145	9.283081406	9.525201306	9.326753271	9.550836807	10.58735618	10.802733	9.488077717	10.40535168	10.16548854	8.780240535	10.29642161	10.23430372	10.41982706	9.873458878	9.935907427	10.21587671	10.15601593	10.42004421	10.13413634	9.840611147
31	11.38711726	12.51132969	11.4026382	10.20796079	10.61413688	10.41803242	11.04037124	11.51077069	10.81868818	10.6186519	9.898506766	13.85407652	11.12782613	10.65672991	10.42863801	13.17259587	11.14275912	11.02280881	12.56972462	11.33646767	12.7646969	11.62063236	11.95690206	12.38610132	12.37000507	12.18840494	11.1171697	12.01783897	10.74731077	10.60825482	10.92167398	10.54756261	11.02130781	10.33888922	9.531079438	11.47475376	10.87271304	11.2428994	10.09609354	11.5228596	11.72181626	11.88854658	11.68490813	11.33997161	10.95424278	10.34187759	10.04588768	9.931779072	11.57618279	10.92278998	12.59529366	11.1717652	11.0883661	11.71194189	11.32624352	10.00317972	11.6736005	10.9550379	9.663066152	11.62913013	12.13615584	10.21838511	10.91710194	11.82096716	11.07800039	10.70493809	11.74605495	11.63651868	11.16591684	11.48760517	11.66180125	13.52867372	10.17174876	12.31428017	11.53473708	11.39698761	11.96150642	12.21518867	10.26918771	11.20103557
32	8.831248648	8.77201165	5.275122548	7.486091666	10.84946726	6.622816172	7.763697721	8.894537987	7.814640781	7.966965657	7.49507872	6.869752986	9.39320445	5.975941948	8.91390216	8.533096468	9.256869369	9.517830575	8.19220551	10.16655101	7.777130358	10.05513911	7.79980938	9.792639511	10.14886078	8.661230126	6.107518401	6.198445041	7.041869381	7.737509658	8.54136499	6.401376184	8.193083244	10.95682756	10.21671725	8.363112804	9.025139562	8.086693552	9.940075698	7.226300434	7.191742266	6.899723064	9.981693994	8.567913497	6.641622612	10.2859704	7.306856434	9.363686014	8.101630118	7.711431581	8.911971646	7.058427984	7.315653172	10.17862016	8.521005181	5.691028798	6.478507545	8.464963898	8.609644168	9.417990661	10.33557794	8.633884161	7.299166798	7.848712441	8.133683732	8.815791868	7.379942338	7.684356603	8.419806001	7.775229023	8.782880954	7.488461987	7.181792319	10.62242572	10.66389739	10.80807722	8.410401741	9.526865197	10.6911295	8.271750138
80724	9.425147702	9.3699033	8.896577626	8.609794108	8.746857571	9.065866309	9.706604799	8.920759254	9.009687559	9.028918015	8.159132145	10.21119926	8.888031161	9.160608638	8.895729162	8.743235226	7.827594856	9.302744238	9.341432982	9.4773513	9.242265466	9.163610684	9.560766724	9.27733204	8.714033563	8.515669092	9.841101039	8.565146644	9.00331973	8.826877028	9.340810144	8.117332453	9.390622764	9.043914781	8.86081013	9.67654475	9.854804037	8.447506465	9.127562092	8.629187203	8.65115325	8.888331383	9.163999805	9.266092897	9.224181879	8.745148573	8.356324312	8.971651896	9.063780647	8.176522745	9.052418068	8.967885914	6.76553342	9.012052934	9.217063943	9.088141067	8.751497531	9.197129932	9.046978272	9.165667534	8.397280592	8.94848346	8.243939409	9.909233072	10.11397912	8.786592768	8.364075545	9.433395364	9.871597882	9.63996324	9.353745618	9.549232315	9.141580697	9.701510244	9.016957563	9.017760208	9.135860344	9.940092881	8.826495736	8.891400047
84129	8.516385547	8.259153827	7.62445699	8.447429597	8.221572622	8.760457162	7.905750416	8.266904106	8.571523993	8.422645092	7.681783756	7.330838917	8.548271306	6.884658968	8.407039975	8.42847282	7.450299865	8.286091034	8.183808048	8.265496438	7.466690738	8.524508022	8.564749694	9.151339808	8.601767818	8.112908078	8.388708321	6.732227134	8.401180322	8.686005304	9.014538854	7.765890072	8.46028264	7.979004402	8.770386393	8.331920143	7.597415712	8.220407351	8.560937684	8.131423315	8.2791416	7.736031147	8.096726749	8.653324477	8.31604027	8.911647545	8.434518145	8.918611042	7.837723794	6.997766603	8.313694356	8.61122772	7.363920096	8.268904529	8.544722611	7.970741514	8.374797803	8.381890713	7.545864919	7.735328559	7.551159914	7.894635293	7.667131417	7.61295841	8.456568801	7.67538478	7.597409008	7.918719557	8.58689832	7.282023654	8.394008592	8.411939284	8.522256275	8.584569463	9.145866695	8.341817227	7.312786772	7.29304119	8.591879096	8.143649023
27034	8.679968422	8.831667952	7.787506906	8.206661293	8.872269176	8.733916936	9.021672655	7.81609278	9.102158655	9.35685072	9.255604116	10.2213939	9.044060458	8.656855998	7.43804079	8.802769017	8.584925681	7.730094427	7.946322647	9.123771713	8.910421475	9.073657985	8.217596676	9.543555427	7.889003154	8.315167228	9.315724035	8.277558011	8.645150428	8.058084832	9.350174107	7.281037946	8.72346368	9.072013056	9.229014403	8.424866257	8.561706085	8.728430071	9.048889519	9.219698783	9.084551177	8.526302041	10.08928852	9.304652265	9.272391843	8.823122311	7.963474124	9.418250888	8.512158132	8.850885977	9.24739827	9.533610262	8.761884609	8.913716404	9.008749061	8.515453061	9.109497947	8.534331289	7.845808663	9.156852393	9.144757393	8.090688853	7.936336414	9.469222988	8.995567618	9.053338641	8.733533988	8.687397731	8.812357671	9.556566597	9.210543991	8.490314203	8.820459814	8.949992998	8.631281843	8.670964227	8.595218686	8.987970262	8.962807533	7.829497594
28976	9.607164579	10.11122659	9.636548315	10.05624671	9.714534028	9.103106542	9.536273835	9.911542242	10.06400062	9.552650463	8.613155534	9.281943701	9.422936639	9.851640211	9.686744049	9.713486701	9.163601879	9.421759581	9.840638682	9.200659566	8.989169101	9.461595268	10.14399575	9.827270449	9.640607192	9.583910716	9.925831381	9.749711577	9.659921527	10.2084908	10.09627556	10.09575739	10.05401125	9.653193866	9.72406068	10.54803322	10.121587	10.04647946	9.341544842	9.616172959	9.850882071	10.59603588	9.608015431	9.627453266	9.626705237	9.790502452	10.95456755	9.765215972	9.752445044	9.80397577	9.470768673	10.53805775	10.42347733	9.56527881	9.737377154	10.83467598	10.39824646	9.624335255	9.701541606	9.893014632	9.862492461	9.632396918	10.87777676	8.863501786	9.913810182	10.17838213	8.392728704	9.500834313	10.17898721	10.44786368	9.884702157	9.74472437	10.01438152	9.609048502	9.897942086	9.803536876	9.438060757	9.782326979	9.493380342	9.929094006
33	4.617656996	0.810072871	0	4.3337028	2.925676674	5.223310559	0.38327574	0.404140166	0.371949104	0.635243612	2.004645205	10.15801886	2.956800118	0	5.511338363	0.835843249	0	0	0	1.885379129	8.478704914	5.866670641	0.825052902	5.081058356	0.998628788	1.746226761	0.818441576	2.090751829	0	1.445779665	0.434988439	0.334568276	2.393251437	5.424777677	7.050520199	2.5360529	0.994000358	1.302582266	3.345864707	6.897166594	6.741310574	5.861014925	4.535760601	7.296720776	0.69233792	0.876644635	1.067087965	2.671678342	7.374277035	0.372060582	1.570511506	0.389346536	1.53645083	3.954587181	1.259423152	0.653060017	3.286393269	0.471759742	1.439303981	1.209078996	0	1.707568963	4.852378444	2.247988257	1.729269968	0.679784089	0.41196851	1.047887329	0	0	0	7.450395553	6.688225127	1.286762889	0.895147484	5.501502839	0	0.986665774	4.924375473	0.522357116
34	10.36380186	10.54025942	10.46584237	8.95945256	10.76541399	9.477076417	9.794738487	9.858269194	9.230620933	9.8091919	9.750392456	12.16355823	9.422689869	10.45994846	10.42336177	8.993318285	10.28605209	10.07348206	10.20785796	9.891655374	10.86599596	9.856453542	11.01811023	10.51805451	9.712743818	10.31887616	10.36111662	8.802486639	9.673671427	9.123853949	10.28906891	10.86354902	9.232023202	9.450262743	9.924516365	9.808964175	10.34998023	11.08187978	9.557639648	8.803968023	9.907708192	10.34309564	9.944362873	10.15422268	9.564084882	9.158993851	10.91351522	9.124630302	9.886015378	9.317304068	10.55170826	9.951625675	10.30368361	9.89113951	10.48054273	9.022164434	10.70686161	9.886711393	9.569303482	9.890371297	8.922789532	10.77722712	9.622198645	9.780219698	9.52492462	11.22931117	9.641605273	9.625501007	10.17601515	8.962861889	10.87051915	10.28756568	9.904192338	10.83543337	9.724413577	10.15890325	10.72440889	9.977797941	10.51290704	8.736195914
