patient	sample_weight
TCGA-BH-A1FE-06A-11R-A213-07	4.712049810148317
TCGA-E2-A15E-06A-11R-A12D-07	6.697488685897483
TCGA-E2-A15K-06A-11R-A12P-07	4.730749032748135
TCGA-BH-A18V-06A-11R-A213-07	6.120614811296247
TCGA-AC-A6IX-06A-11R-A32P-07	6.011501485951113
TCGA-BH-A1ES-06A-12R-A24H-07	1.4799474348604438
TCGA-E2-A15A-06A-11R-A12D-07	6.918143867141047
TCGA-E2-A10A-01A-21R-A115-07	7.4178277903706284
TCGA-D8-A1JJ-01A-31R-A14M-07	7.40536899700931
TCGA-C8-A274-01A-11R-A16F-07	7.275005259802097
TCGA-D8-A1J8-01A-11R-A13Q-07	7.484046317086387
TCGA-D8-A1JF-01A-11R-A13Q-07	0.6797730642912364
TCGA-D8-A146-01A-31R-A115-07	7.848688630153261
TCGA-D8-A1JK-01A-11R-A13Q-07	4.801154049473113
TCGA-D8-A147-01A-11R-A115-07	6.219695404157335
TCGA-D8-A1J9-01A-11R-A13Q-07	6.443853722365777
TCGA-D8-A1JA-01A-11R-A13Q-07	5.761554504218821
TCGA-D8-A1JE-01A-11R-A13Q-07	6.765396813425406
TCGA-D8-A1JD-01A-11R-A13Q-07	8.0
TCGA-D8-A1JB-01A-11R-A13Q-07	7.767485769300494
TCGA-D8-A1JG-01B-11R-A13Q-07	3.0425783369529635
TCGA-D8-A1JH-01A-11R-A13Q-07	7.500626595244203
TCGA-D8-A1JI-01A-11R-A13Q-07	4.268723568040364
TCGA-D8-A4Z1-01A-21R-A266-07	7.482907572167662
TCGA-D8-A1JC-01A-11R-A13Q-07	7.523609265421387
TCGA-D8-A140-01A-11R-A115-07	7.248612291840521
TCGA-C8-A27A-01A-11R-A169-07	6.546552064063249
TCGA-E2-A106-01A-11R-A10J-07	6.539743296286414
TCGA-E2-A105-01A-11R-A10J-07	5.95769037015727
TCGA-C8-A8HQ-01A-11R-A36F-07	6.674499667592562
TCGA-D8-A73X-01A-11R-A32P-07	7.38053742027914
TCGA-C8-A27B-01A-11R-A169-07	4.486917589032707
TCGA-C8-A8HP-01A-11R-A36F-07	5.499637394923904
TCGA-E2-A108-01A-13R-A10J-07	6.877726620058969
TCGA-C8-A3M7-01A-12R-A21T-07	6.267215441465279
TCGA-C8-A3M8-01A-11R-A213-07	7.481545744691452
TCGA-E2-A107-01A-11R-A10J-07	7.3736589396967265
TCGA-D8-A1JL-01A-11R-A13Q-07	6.161335944015017
TCGA-C8-A8HR-01A-11R-A36F-07	7.551329909337349
TCGA-D8-A142-01A-11R-A115-07	4.39121137264434
TCGA-C8-A278-01A-11R-A169-07	4.689844845302942
TCGA-D8-A143-01A-11R-A115-07	6.554863380197712
TCGA-D8-A145-01A-11R-A115-07	7.725539918575951
TCGA-D8-A141-01A-11R-A115-07	7.476920142871284
TCGA-E2-A109-01A-11R-A10J-07	7.2631599738376345
TCGA-D8-A73W-01A-22R-A352-07	7.413385238238695
TCGA-D8-A13Y-01A-11R-A115-07	2.606621967683909
TCGA-D8-A73U-01A-11R-A33J-07	7.151096356246358
TCGA-D8-A13Z-01A-11R-A115-07	5.714911980103467
TCGA-C8-A275-01A-21R-A16F-07	6.60305018434192
TCGA-D8-A27P-01A-11R-A16F-07	7.3659747585254065
TCGA-D8-A1XL-01A-11R-A14M-07	7.610883324754649
TCGA-D8-A1XK-01A-21R-A14M-07	5.772018610298371
TCGA-D8-A1XM-01A-21R-A14M-07	7.884888477108319
TCGA-D8-A1XO-01A-11R-A14M-07	7.843491106326073
TCGA-D8-A1XQ-01A-11R-A14M-07	5.024986622221535
TCGA-D8-A1XJ-01A-11R-A14M-07	6.57201851853351
TCGA-D8-A1XG-01A-11R-A14D-07	4.414965529695819
TCGA-D8-A27H-01A-11R-A16F-07	3.242639947797976
TCGA-D8-A1XD-01A-11R-A14D-07	5.962847844087779
TCGA-D8-A1XF-01A-11R-A14D-07	5.544359254193053
TCGA-D8-A27G-01A-11R-A16F-07	5.948123918753198
TCGA-D8-A27F-01A-11R-A16F-07	4.201558298468671
TCGA-D8-A1XR-01A-11R-A14M-07	7.439562388390073
TCGA-D8-A1Y2-01A-11R-A157-07	7.74209378543754
TCGA-D8-A1XW-01A-11R-A14M-07	5.810813511631579
TCGA-D8-A1XY-01A-11R-A14M-07	7.006069452818177
TCGA-D8-A1Y1-01A-21R-A14M-07	7.903148494029896
TCGA-D8-A1XZ-01A-11R-A14M-07	7.25032618316762
TCGA-D8-A1Y3-01A-11R-A157-07	6.335871967064886
TCGA-D8-A1XV-01A-11R-A14M-07	4.915043232900128
TCGA-D8-A1XS-01A-11R-A14M-07	7.4604280179794005
TCGA-D8-A1XT-01A-11R-A14M-07	7.021047379693224
TCGA-D8-A27E-01A-11R-A16F-07	6.1703171402251265
TCGA-D8-A1XU-01A-11R-A14M-07	6.561390998143901
TCGA-D8-A27I-01A-11R-A16F-07	7.950911695566916
TCGA-D8-A1XC-01A-11R-A14D-07	5.081211012336308
TCGA-D8-A27W-01A-11R-A16F-07	7.074178843122106
TCGA-D8-A1JU-01A-11R-A13Q-07	7.849687668816902
TCGA-D8-A1X5-01A-11R-A14D-07	7.851675500256992
